"","Age","Gender","Weight..kg.","Height..m.","Max_BPM","Avg_BPM","Resting_BPM","Session_Duration..hours.","Calories_Burned","Workout_Type","Fat_Percentage","Water_Intake..liters.","Workout_Frequency..days.week.","Experience_Level","BMI","Daily.meals.frequency","Physical.exercise","Carbs","Proteins","Fats","Calories","meal_name","meal_type","diet_type","sugar_g","sodium_mg","cholesterol_mg","serving_size_g","cooking_method","prep_time_min","cook_time_min","rating","Name.of.Exercise","Sets","Reps","Benefit","Burns.Calories..per.30.min.","Target.Muscle.Group","Equipment.Needed","Difficulty.Level","Body.Part","Type.of.Muscle","Workout","BMI_calc","cal_from_macros","pct_carbs","protein_per_kg","pct_HRR","pct_maxHR","cal_balance","lean_mass_kg","expected_burn","Burns.Calories..per.30.min._bc","Burns_Calories_Bin"
"11",50.51,"Male","86.37","1.63",160.92,143.2,57.87,1.69,1974.26,"Strength",29.0715284980496,3.49,4.01,2,32.51,3,0.02,258.98,102.72,68.72,2476,"Other","Breakfast","Keto",10,1356.53,170.61,270.38,"Baked",41.73,119.53,2.54,"Plank",4.99,17.03,"Targets obliques and improves core rotation",356.2,"Lower Chest, Triceps","Wall","Intermediate","Abs","Triceps","Bicep Curls",32.5078098535888,2065.28,0.501588162379919,1.18930184091699,0.828044638524988,0.889883171762366,501.74,61.2609208362345,1203.956,99831352431834480640,"High"
"12",47.77,"Female","83.89","1.82",176.36,148.74,69.91,1.91,2733.4,"HIIT",23.6493181994169,3.51,5.02,3,25.33,3.01,0.01,231.16,93.27,61.23,2232,"Other","Snack","Keto",11.88,323.04,135.18,393.39,"Grilled",11.26,26.52,4.07,"Pull-ups",4,20.97,"Strengthens lower body",361.13,"Chest, Triceps","Dumbbells","Advanced","Shoulders","Quads","Face pulls",25.3260475787948,1848.79,0.500132519107092,1.11181308856836,0.740535462658525,0.843388523474711,-501.4,64.0505869625091,1379.5166,1.11694679531762e+20,"Very High"
"13",19,"Male","82.66","1.96",173.75,168.71,62.16,1.89,2700.62,"HIIT",24.1287869189123,3.5,5.02,2,21.52,3.01,0.01,181.82,71.6,48.11,2569,"Other","Dinner","Vegan",30.3,80.98,210.51,239.19,"Baked",10.14,116.47,2.91,"Lunges",3.99,23.95,"Isolates triceps",357.96,"Core, Shoulders, Hips","Bench or Sturdy Surface","Advanced","Abs","Lower Chest","Seated calf raises",21.5170762182424,1446.67,0.502726952242045,0.866198887007017,0.954834662604176,0.970992805755396,-131.62,62.7151447328271,1353.0888,1.03932882376513e+20,"High"
"14",38.01,"Female","57.67","1.56",184.91,132.43,54.04,1.64,2345.2,"HIIT",26.5944311994061,2.71,5,3,23.7,3.98,2.99,369.71,147.77,98.38,1726,"Other","Breakfast","Low-Carb",35.84,131.07,244.36,471.47,"Grilled",37.25,74.43,3.91,"Turkish Get-ups",4.99,14.93,"Builds unilateral leg strength and balance",338.54,"Lower Chest, Triceps","None or Dumbbells","Advanced","Shoulders","Triceps","Fat grip dumbbell curl",23.6974030243261,2955.34,0.500395893535092,2.56233743714236,0.598991365477191,0.716186252771619,-619.2,42.3329915273025,1110.4112,65899476055317479424,"Medium"
"15",27.39,"Female","71.79","1.97",180.96,151.11,72.68,0.75,743.85,"Strength",24.477762525784,3.59,3.01,1,18.5,3.01,0.02,207.16,82.59,55.08,2046,"Other","Lunch","Low-Carb",16.18,674.45,127.06,306.18,"Roasted",47.37,119.27,4.24,"Plyo Squats",4,15.13,"Improves core stability",356.83,"Shoulders, Triceps","Barbell","Advanced","Chest","Middle","Hammer curls",18.4982864799402,1654.72,0.500773544768903,1.15043877977434,0.72432582194311,0.835046419098143,1302.15,54.2174142827397,535.245,1.01282878269139e+20,"High"
"16",18.86,"Female","95.12","1.85",189.48,142.51,49.9,1.2,1293.84,"Strength",28.0499281749438,2.3,4,1,27.79,2,0.96,298.25,118.86,79.54,2455,"Other","Snack","Paleo",25.56,835.15,299.07,300.06,"Raw",60.3,15.35,2.65,"Squats",4.99,17.87,"Improves core stability and balance",359.74,"Rear Deltoids, Upper Back","Resistance Band or Cable Machine","Advanced","Legs","Lower","Plate pinch",27.7925493060628,2384.3,0.50035649876274,1.24957947855341,0.663490471414243,0.752111040743086,1161.16,68.4389083199935,863.376,1.08230759975374e+20,"High"
"17",40.36,"Male","56.88","1.71",168.02,142.67,60.89,1.87,2189.58,"Strength",21.8092648928351,2.69,5.02,3,19.45,1.98,0.01,192.66,76.8,51.19,1740,"Other","Breakfast","Paleo",43.14,58.47,291.5,352.42,"Raw",54.98,40.14,2.88,"Frog Jumps",5,20.9,"Strengthens back and improves posture",342.47,"Quadriceps, Hamstrings, Glutes","Bench or Sturdy Surface","Advanced","Forearms","Triceps","Donkey kicks",19.4521391197291,1538.55,0.500887198986058,1.35021097046413,0.763371604592551,0.849125104154267,-449.58,44.4748901289554,1280.8378,72414058960355475456,"Medium"
"18",37.14,"Male","76.48","1.77",180.29,127.8,56.76,1.36,1305.6,"Cardio",30.3007379149598,2.09,4,2,24.41,2.99,-0.02,233.62,92.99,62.41,2166,"Other","Breakfast","Low-Carb",27.8,434.36,271.65,370.94,"Steamed",39.18,37.58,4.9,"Step-ups",5,16.98,"Improves balance and leg strength",356.98,"Quadriceps, Hamstrings, Glutes","Bench or Step","Beginner","Chest","Anterior","Decline dumbbell press",24.4118867502953,1868.13,0.500222147280971,1.21587343096234,0.575082975795353,0.708857951078817,860.4,53.3059956426388,970.9856,1.01631198231636e+20,"High"
"19",18.93,"Male","72.56","1.79",177.48,124.41,60.95,0.81,803.36,"Strength",26.4051144035958,1.58,2.99,1,22.65,2.99,0.02,219.75,87.27,58.09,1802,"Other","Lunch","Vegetarian",5.03,1193.73,252.47,366.68,"Baked",12.55,43.72,1.1,"Lunges",4,25.07,"Improves posture and strengthens upper back",332.12,"Chest, Triceps","Low Bar or TRX","Beginner","Legs","Wrist Flexors","Barbell curls",22.6459848319341,1750.89,0.50203039597005,1.20272877618523,0.544580794645156,0.700980392156863,998.64,53.4004489887509,538.0344,56359998965249441792,"Low"
"20",46,"Male","60.05","1.68",164.91,147.1,62.34,1.17,1544.4,"HIIT",21.8040293606682,2.51,4.01,2,21.28,1.99,0.01,247.96,99.4,66.24,1716,"Other","Lunch","Vegetarian",16.21,1318.33,53.39,122.1,"Fried",28.89,35.79,1.07,"Deadlifts",4,23.01,"Isolates and strengthens triceps",350.23,"Core, Shoulders, Legs","Wall","Intermediate","Chest","Lower","Military press",21.2762188208617,1985.6,0.499516518936342,1.65528726061615,0.826362484157161,0.892001697895822,171.6,46.9566803689187,819.5382,86957109659291926538,"High"
"21",37.06,"Female","73.04","1.74",188.15,140.95,65.11,1.04,1123.2,"Strength",25.7854178127968,2.39,3,2,24.12,3.02,1,300.3,120.63,80.22,2038,"Other","Snack","Vegan",1.96,2075.74,21.79,229.67,"Boiled",43.88,57.5,3.84,"Decline Push-ups",4.98,22.86,"Targets upper chest",333.67,"Shoulders, Upper Back","Cable Machine or Resistance Band","Beginner","Abs","Anterior","Dumbbell front raises",24.1247192495706,2405.7,0.499314128943759,1.65156078860898,0.616384915474642,0.749136327398352,914.8,54.2063308295332,694.0336,58544490391463247872,"Low"
"22",50.23,"Female","86.72","1.63",160.86,143.17,58.08,1.7,1326,"Yoga",29.1238520898239,3.51,4,3,32.64,3,-0.01,256.65,103.91,68.88,2212,"Other","Breakfast","Balanced",10.7,1357.2,172.78,270.05,"Raw",42,120,2.47,"Prone Cobras",5,17.09,"Strengthens back and legs",356.6,"Upper Chest, Triceps","Bench or Chair","Advanced","Chest","Posterior","Russian twists",32.6395423237608,2062.16,0.497827520657951,1.1982241697417,0.827884802490757,0.890028596294915,886,61.4637954677047,1212.44,1.00750823143186e+20,"High"
"23",30.9,"Female","76.77","1.71",189.88,137.2,51.88,1.27,1214.12,"Cardio",29.3186066036503,1.82,3.98,1,26.25,2,1.01,222.21,89.25,58.85,2182,"Other","Breakfast","Paleo",15.41,278.9,228.23,407.72,"Raw",59.79,72.64,1.76,"Glute Bridges",4,24.02,"Improves shoulder mobility and posture",353.43,"Chest, Triceps, Shoulders","Step or Box","Advanced","Forearms","Grip Strength","Hyperextensions",26.2542320714066,1775.49,0.500616731155906,1.16256350136772,0.618260869565217,0.722561617863914,967.88,54.2621057103777,897.7122,93663649788503162880,"High"
"24",24.03,"Female","88.29","1.79",177.55,153.6,65.23,1.76,1831.81,"Cardio",26.7693540494346,3.48,4.01,3,27.56,2.99,-0.01,174.44,69.19,46.48,2410,"Other","Lunch","Keto",0.81,299.22,187.88,124.74,"Boiled",45.62,15.41,2.76,"Lat Pulldowns",3.99,23.85,"Builds chest strength",350.66,"Core, Shoulders, Hips","Bench, Barbell","Intermediate","Back","Grip Strength","Leg raises",27.5553197465747,1392.84,0.500962063122828,0.783667459508438,0.786769943019943,0.865108420163334,578.19,64.6553373097542,1234.3232,87833035957022687232,"High"
"25",50.53,"Male","57.01","1.91",184.12,131.58,68.07,1.09,1177.2,"Strength",22.3925964432616,2.72,3.99,2,15.63,2.01,0,177.97,71.05,47.3,1510,"Other","Lunch","Keto",7.67,1250.31,138.48,220.52,"Steamed",46.48,16.29,1.82,"Prone Cobras",4.01,14.99,"Strengthens lower body",360.04,"Triceps","Kettlebell","Beginner","Forearms","Wrist Flexors","Barbell rows",15.6273128477838,1421.78,0.500696310258971,1.24627258375724,0.547264110297286,0.714642624375407,332.8,44.2439807676966,784.8872,1.0897027971169e+20,"High"
"26",54.03,"Female","87.22","1.76",188.72,157.91,68,1.48,1067.38,"Yoga",28.4184994639426,3.39,3,2,28.16,3,0,296.87,118.4,79.38,2269,"Other","Lunch","Keto",15.56,2425.23,235.02,353.93,"Fried",25.41,66.78,2.67,"Bear Crawls",5,16.88,"Builds upper body strength",338.3,"Chest, Triceps","Cable Machine","Advanced","Chest","Middle","Skull crushers",28.1572830578512,2375.5,0.499886339717954,1.3574868149507,0.744781312127237,0.836742263671047,1201.62,62.4333847675493,1001.368,65518873463922114560,"Medium"
"27",25.11,"Female","105.44","1.88",174.12,155.79,67.11,1.33,1277.86,"Cardio",30.892571504734,2.28,2.99,2,29.83,4.02,0.02,198.29,79.79,52.85,3016,"Other","Lunch","Balanced",43.02,2092.8,254.4,466.3,"Raw",50.18,36.63,3.97,"Mountain Climbers",3.98,15.03,"Builds explosive power",355.39,"Obliques, Core","Pull-up Bar","Beginner","Shoulders","Lower","Plate pinch",29.8325033952014,1587.97,0.499480468774599,0.756733687405159,0.828707597420802,0.894727773949001,1738.14,72.8668726054085,945.3374,97991959497766518784,"High"
"28",39.05,"Male","102.34","1.94",192.28,133.68,50.01,0.9,792,"Cardio",32.462858862877,2.41,3.01,1,27.19,3.02,-0.03,282.28,111.71,74.89,2624,"Other","Lunch","Vegan",9.88,434.89,2.84,459.96,"Baked",30.6,105.57,1.9,"Russian Twists",5.02,22,"Builds shoulder width",368.66,"Core","Resistance Band","Beginner","Forearms","Posterior","Bicycle crunches",27.1920501647359,2249.97,0.501837802281808,1.09155755325386,0.588107120264286,0.695236114000416,1832,69.1175102397317,663.588,1.32205454097363e+20,"Very High"
"29",44.1,"Female","89.6","1.99",192.1,135.01,58.1,1.4,1848,"HIIT",23.0905232139209,2.02,4,2,22.63,2.99,1.04,321.28,128.81,85.61,2601,"Other","Dinner","Paleo",7.3,2434.23,249.77,96.89,"Raw",59.95,49.69,1.91,"Shoulder Press",4.99,14.99,"Strengthens back and legs",339.35,"Chest, Triceps","Wall","Advanced","Back","Lower","Close-grip bench press",22.6256912704225,2570.85,0.499881362195383,1.43761160714286,0.573955223880597,0.702811035918792,753,68.9108912003269,950.18,67198379754830249984,"Medium"
"30",18.06,"Male","58.56","1.61",174.64,150.33,70.81,1.9,2226.42,"Strength",24.4969216626168,2.72,3.99,3,22.59,2.99,0.03,231.25,92.48,61.37,1549,"Other","Snack","Low-Carb",30.58,276.74,266.46,269.54,"Baked",59.07,21.53,1.99,"Tricep Dips",4.99,24.98,"Improves core stability and balance",334.26,"Back, Biceps","None or Dumbbells","Advanced","Arms","Anterior","Decline cable crossovers",22.5917209984183,1847.25,0.500744349709027,1.5792349726776,0.765867283058846,0.860799358680715,-677.42,44.2146026743716,1270.188,59395332047804235776,"Low"
"31",57.07,"Female","76.9","1.86",173.05,140.94,55.07,1.15,827.31,"Yoga",29.4394107088087,2.8,3.99,1,22.23,1.98,0,207.11,82.81,55.52,1981,"Other","Breakfast","Vegetarian",4.58,365.77,281.74,161.5,"Fried",7.91,66.82,4.15,"Kettlebell Swings",3.99,16.01,"Advanced core exercise",353.89,"Shoulders, Upper Back","Bench or Sturdy Surface","Beginner","Legs","Lats","Russian twists",22.2280032373685,1659.36,0.499252723941761,1.07685305591678,0.727835226309544,0.814446691707599,1153.69,54.2610931649261,813.947,94664108222078304266,"High"
"32",49.66,"Male","52.57","1.84",195.03,124.28,51.7,1.38,1324.8,"Cardio",14.8419756179219,3.1,4,2,15.53,3,-0.02,169.5,68.42,45.57,1497,"Other","Snack","Paleo",41.73,2315.93,148.84,212.06,"Baked",57.1,8.62,2.2,"Resistance Band Pull-Aparts",5.01,16.02,"Targets biceps and forearms",346.31,"Full Body","Dumbbells","Beginner","Legs","Triceps","Hanging leg raises",15.5275283553875,1361.81,0.497866809613676,1.30150275822713,0.506383869392312,0.637235297133774,172.2,44.7675734176584,955.8156,79318820852974927872,"Medium"
"33",31.63,"Male","126.53","1.83",197.68,146.15,61.92,1.1,790.68,"Yoga",35,2.09,2.99,1,37.78,3,0.02,304.8,122.78,81.51,3255,"Other","Breakfast","Keto",44.74,86.45,181.63,284.83,"Baked",7.94,54.61,2.2,"Leg Raises",5,18.06,"Improves lower back strength",361.2,"Glutes, Hamstrings","Cable Machine or Resistance Band","Beginner","Abs","Lower Chest","Bird dog",37.7825554659739,2443.91,0.498872708078448,0.970362759819806,0.620433117265763,0.739326183731283,2464.32,82.2445,794.64,1.11871666389071e+20,"Very High"
"34",41.8,"Male","59.72","1.74",194.24,141.17,51.86,1.78,2545.4,"HIIT",19.4467030830301,2.7,5.01,3,19.73,3.01,-0.03,202.57,80.05,53.22,1741,"Other","Dinner","Paleo",35.39,2121.96,204.6,433.04,"Roasted",8.84,22.7,1.19,"Tricep Extensions",5.01,15.88,"Strengthens core and improves mobility",364.95,"Quadriceps, Glutes","Barbell","Beginner","Shoulders","Quads","Dumbbell flyes",19.7251948738275,1609.46,0.503448361562263,1.34042196918955,0.627265065318163,0.726781301482702,-804.4,48.1064289188144,1299.222,1.21720577929388e+20,"Very High"
"35",37.51,"Male","76.59","1.82",191.56,121.3,49.83,1.49,1072.8,"Yoga",22.5755819385422,2.8,3.98,2,23.12,3.02,-0.02,188.66,76.42,50.28,1950,"Other","Lunch","Balanced",2.81,2413.37,111.51,329.67,"Roasted",39.77,61.64,2.4,"Deadlifts",3.98,19.04,"Improves back strength and posture",344.07,"Quadriceps, Calves, Glutes","Pull-up Bar","Beginner","Back","Grip Strength","Plate pinch",23.1222074628668,1512.84,0.498823404986648,0.997780389084737,0.504268679884287,0.633221967007726,877.2,59.2993617932705,1025.3286,75224088178328256512,"Medium"
"36",39.98,"Male","79.99","1.76",167.75,166.6,74.26,1.63,1902.7,"Strength",28.8304532313429,3.5,5.01,2,25.82,3.01,0.01,235.62,94.49,62.77,2030,"Other","Dinner","Keto",27.18,1259.35,186.37,484.4,"Steamed",41.61,13.87,3.4,"Dead Bugs",5.03,21.92,"Builds lower body power",348.23,"Triceps","Resistance Band","Beginner","Shoulders","Posterior","Leg raises",25.8232179752066,1885.37,0.499891268026965,1.18127265908239,0.987699219167825,0.993144560357675,127.3,56.9285204602488,1135.2298,82983019591509622784,"Medium"
"37",25.49,"Female","127.55","1.73",167.12,159.98,62.04,1.33,1607.84,"HIIT",35,2.91,3.02,1,42.62,2.99,-0.01,296.66,117.99,78.86,3313,"Other","Snack","Low-Carb",4,2351.97,119.73,379.38,"Boiled",46.93,29.37,2.48,"Frog Jumps",2.99,10.07,"Builds shoulder width",130.05,"Core, Shoulders, Hips","Wall","Beginner","Arms","Triceps","Bird dog",42.6175281499549,2368.34,0.501042924580086,0.925049000392003,0.932051770079939,0.957276208712302,1705.16,82.9075,345.933,27039504324756024,"Low"
"38",58.24,"Female","56.96","1.7",170.09,121.89,57.07,0.74,895.4,"HIIT",23.5650452462822,2.7,1.99,1,19.71,3,-0.01,205.31,83.24,55.37,1390,"Other","Dinner","Low-Carb",8.38,1490.43,270.33,284.74,"Roasted",48.63,89.23,3.01,"Scissors Kicks",4.99,16.02,"Strengthens core and improves mobility",357.81,"Shoulders, Upper Back","None or Dumbbells","Advanced","Forearms","Lats","Standing calf raises",19.7093425605536,1652.53,0.496959208002275,1.46137640449438,0.573526809414263,0.71662061261685,494.6,43.5373502277177,529.5588,1.035776448937e+20,"High"
"39",48.18,"Female","56.53","1.51",184.75,125.44,52.26,1.37,1311.91,"Cardio",28.5076530922665,2.11,3.97,1,24.79,3,0.01,215.24,85.55,57.33,1489,"Other","Breakfast","Paleo",35.32,1707.76,53.01,130.6,"Roasted",18.25,96.05,1.99,"Plyometric Push-ups",5.02,23.09,"Improves unilateral leg strength and balance",330.57,"Lower Abs","Bench, Barbell","Intermediate","Legs","Wrist Flexors","Dumbbell rows",24.7927722468313,1719.13,0.50081145695788,1.51335574031488,0.552343573099857,0.678971583220568,177.09,40.4146237069418,905.7618,54247396426344251392,"Low"
"40",27.19,"Male","88.2","1.98",161.8,152.85,52.99,1.8,2577.96,"HIIT",21.0470718017398,3.5,4.01,3,22.5,2.02,1,296.47,118.19,79.21,2531,"Other","Dinner","Vegan",19.02,345.67,219.13,116.63,"Boiled",31.19,13.76,4.42,"Frog Jumps",4,23.96,"Improves core stability and upper body strength",336.55,"Lower Abs","Box or Platform","Advanced","Abs","Middle","Incline dumbbell press",22.4977043158861,2371.53,0.500048491901852,1.34002267573696,0.917746530649756,0.944684796044499,-46.96,69.6364826708655,1211.58,62801493579697700864,"Low"
"41",40.14,"Male","51.72","1.61",198.12,128.23,70.18,0.86,566.57,"Yoga",23.7131501252644,3.32,1.99,1,19.95,1.99,-0.02,217.46,86.75,57.22,1325,"Other","Snack","Keto",27.11,1959.49,37.92,145.4,"Grilled",28.56,78.55,2.62,"Push Ups",3.99,23,"Strengthens back and improves posture",359.4,"Core, Obliques","Bench or Step","Intermediate","Back","Lower","Hammer curl",19.9529339145866,1731.82,0.502269288956127,1.67730085073473,0.453728310145381,0.647233999596204,758.43,39.4555587552133,618.168,1.07397967226321e+20,"High"
"42",41.1,"Female","77.05","1.79",171.94,132.06,56.07,1.4,1849.54,"HIIT",25.7656340361891,2,4,2,24.05,2.99,0.02,291.2,115.86,77.53,2334,"Other","Snack","Paleo",22.78,790.39,88.06,392.68,"Roasted",5.79,35.76,4.81,"Leg Press",4,22.02,"Builds calf muscles",331.76,"Legs, Shoulders, Core","Bench or Sturdy Surface","Advanced","Forearms","Wrist Flexors","Bent-over lateral raises",24.0473143784526,2326.01,0.500771707774257,1.50369889682025,0.655821178907396,0.76805862510178,484.46,57.1975789751163,928.928,55862996319761235978,"Low"
"43",52.36,"Female","51.93","1.67",169,124.55,51.78,1.5,1818.3,"HIIT",22.0592370284323,1.51,1.97,1,18.62,3.01,0.01,282.27,112.63,74.94,1353,"Other","Dinner","Paleo",29.84,1419.55,134.3,177.23,"Baked",51.42,67.35,1.53,"Bench Press",4.98,18,"Targets lower abs",350.88,"Shoulders","Bench, Barbell","Intermediate","Shoulders","Anterior","Leg extensions",18.6202445408584,2254.06,0.500909470022981,2.16888118621221,0.620798498549736,0.73698224852071,-465.3,40.4746382111351,1052.64,88284172341688483840,"High"
"44",36.02,"Female","109.87","1.77",191.11,156.06,73.76,1.19,786.11,"Yoga",33.4256380760381,3.42,1.99,1,35.07,3,0.01,306.41,122.15,82.17,2728,"Other","Snack","Vegetarian",46.88,2000.77,252.88,161.17,"Raw",20.3,62.42,2.79,"Inverted Rows",4,22.99,"Strengthens shoulders",369.34,"Shoulders, Triceps","Resistance Band","Intermediate","Arms","Wrist Extensors","Face pulls",35.0697436879568,2453.77,0.499492617482486,1.11176845362701,0.701320835108649,0.816597770917273,1941.89,73.1452514458569,879.0292,1.34210863492362e+20,"Very High"
"45",33.07,"Male","102.83","1.75",185.94,140.25,52.91,1.4,1003.8,"Yoga",29.9334762723605,2.21,3,1,33.58,3,-0.01,288.65,115.2,76.75,2657,"Other","Snack","Balanced",3.45,459.13,251.52,332.16,"Roasted",36.93,92.96,3.1,"Bench Press",4.03,21.02,"Full body workout",363.78,"Lower Chest, Triceps","Cable Machine","Beginner","Chest","Lats","Dumbbell rows",33.5771428571429,2306.15,0.500661275285649,1.12029563356997,0.65654363677366,0.754275572765408,1653.2,72.0494063491317,1018.584,1.18569111824067e+20,"Very High"
